a ma tơ
khủng bố trắng
kim anh tử
kim bản vị
kim chỉ nam
kim loại hiếm
kim loại học
kim loại kiềm
kim loại màu
kim loại quý
kim loại sạch
kim loại thô
kim loại đen
kim nam châm
kim sinh học
kim tương học
kim tự tháp
kinh lược sứ
kinh tuyến gốc
kinh tế học
kinh độ tây
kinh độ đông
kiên cố hoá
kiến trúc sư
kiến trúc đá
kiến tạo học
kiểm hoá viên
kiểm lâm viên
kiểm sát viên
kiểm toán viên
kiểm tra viên
kiểm định viên
ké đầu ngựa
kênh truyền hình
kìm cộng lực
kí hiệu học
kí sinh trùng
kí túc xá
kí âm pháp
kích thích tố
kín như bưng
kính dưỡng mục
kính hiển vi
kính thiên văn
kính tiềm vọng
kính viễn vọng
kính vạn hoa
kính đổi màu
kíp vi sai
ký hiệu học
ký sinh trùng
ký túc xá
ký âm pháp
kĩ nghệ gia
kĩ thuật số
kĩ thuật viên
kẹo cao su
kế hoạch hoá
kế toán trưởng
kết cấu đất
kề miệng lỗ
kỉ hà học
kị binh bay
kịch bản phim
kịch tác gia
kỵ binh bay
kỷ hà học
kỹ nghệ gia
kỹ thuật số
kỹ thuật viên
lai kinh tế
lao động sống
liên chi uỷ
liên cầu khuẩn
liên gia trưởng
liên hiệp quốc
liên hoan phim
liên hợp quốc
liền tù tì
liệu thần hồn
lo sốt vó
long diên hương
loại hình học
lung tung beng
luyến ái quan
luyện kim bột
luyện kim màu
luyện kim đen
luân lí học
luân lý học
luận lí học
luận lý học
luật bài trung
luật bóng đá
luật bằng trắc
luật dân sự
luật giáo dục
luật hành chính
luật hình sự
luật quốc tế
làm bỏ xác
làm dấu thánh
làm không công
làng chiến đấu
lá cờ đầu
lâm thổ sản
lãnh sự quán
lão bệnh học
lí liệu pháp
lí sự cùn
lí tưởng hoá
lính đánh thuê
lò hồ quang
lò luyện kim
lò sát sinh
lò vi ba
lò vi sóng
lô xích xông
lúm đồng tiền
lý liệu pháp
lý sự cùn
lý tưởng hoá
lơ tơ mơ
lưng lửng dạ
lưu học sinh
lương sản phẩm
lười chảy thây
lưỡi dao cạo
lưỡi không xương
lượng giác học
lạc quan tếu
lạnh như tiền
lạy cả nón
lập trình viên
lịch bờ lốc
lỗ chân lông
lỗ châu mai
lộn mề gà
lộn tùng phèo
lời nói đầu
lời toà soạn
lời đường mật
lử cò bợ
ma cà bông
ma cà rồng
ma ăn cỗ
mau nước mắt
may công nghiệp
muối bỏ biển
muối bỏ bể
màn hiện sóng
màn huỳnh quang
màn song khai
màng tế bào
má bánh đúc
mát rười rượi
máy bộ đàm
máy chiếu hình
máy chiếu phim
máy công cụ
máy ghi âm
máy gia tốc
máy huyền vi
máy hút bụi
máy hơi nước
máy in phun
máy liên hợp
máy nhắn tin
máy ni vô
máy phát điện
máy quay đĩa
máy rửa bát
máy thu hình
máy thu thanh
máy thuỷ bình
máy vi tính
máy xách tay
máy điều hoà
máy điện tim
máy điện toán
máy để bàn
mã tiên thảo
mèng đéc ơi
mèo nhị thể
mèo tam thể
mì ăn liền
mìn định hướng
mít tố nữ
mô hình hoá
mùi mẽ gì
